CustomerID,Lookalike1_ID,Lookalike1_Score,Lookalike2_ID,Lookalike2_Score,Lookalike3_ID,Lookalike3_Score
C0001,C0026,0.945,C0051,0.937,C0045,0.936
C0002,C0133,0.957,C0159,0.932,C0178,0.926
C0003,C0031,0.933,C0195,0.928,C0170,0.923
C0004,C0075,0.969,C0065,0.968,C0012,0.964
C0005,C0007,0.974,C0197,0.953,C0085,0.929
C0006,C0135,0.975,C0196,0.95,C0185,0.949
C0007,C0005,0.974,C0085,0.968,C0197,0.909
C0008,C0093,0.961,C0173,0.93,C0145,0.927
C0009,C0198,0.879,C0032,0.824,C0058,0.822
C0010,C0077,0.927,C0056,0.924,C0176,0.906
C0011,C0027,0.96,C0016,0.95,C0101,0.928
C0012,C0065,0.982,C0179,0.972,C0004,0.964
C0013,C0156,0.965,C0099,0.964,C0141,0.959
C0014,C0060,0.944,C0128,0.914,C0097,0.847
C0015,C0123,0.982,C0080,0.899,C0128,0.88
C0016,C0107,0.959,C0011,0.95,C0117,0.928
C0017,C0075,0.979,C0004,0.957,C0122,0.946
C0018,C0064,0.955,C0087,0.932,C0068,0.926
C0019,C0191,0.914,C0174,0.905,C0070,0.866
C0020,C0140,0.936,C0130,0.903,C0095,0.816
